french,fongbe
"Le jardinier a arrosé les fleurs, mais il a oublié de tailler la haie comme il l'avait promis.","Jikpámɛtɔ́ ɔ kɔn sìn dó folowa lɛ jí, amɔ̌, é wɔn bo jla xɔ ɔ ɖó lee é d’akpá tɔn gbɔn é."
Il est évident que nous réussirons ce projet si tout le monde participe activement et régulièrement.,"É ɖò wɛn ɖɔ enyi mɛ bǐ nɔ ɖ’alɔ ɖò azɔ̌ enɛ mɛ kpo kanɖodonǔwu kpo, bo nɔ lɛ́ ɖ’alɔ ɖ’emɛ hwɛhwɛ ɔ, mǐ na ɖu ɖò azɔ̌ enɛ jí."
"Quand nous serons grands, nous nous souviendrons de ces moments d'enfance passés à jouer ensemble.","Nú mǐ sù ɔ, mǐ na flín hwenu enɛ lɛ e mǐ nɔ xò ɖò vǔ é."
"La réunion aura lieu dans la salle de conférence, à condition que les techniciens aient installé le projecteur.","Kplé ɔ na jɛ ɖò kpléxɔ ɔ mɛ, enyi nǔnywɛ xwitixwitizɔ́watɔ́ lɛ ko sɔ́ nǔ e nɔ xlɛ́ nǔ lɛ é ɖó tɛn tɔn mɛ ɔ nɛ."
"Pendant que tu liras ce livre passionnant, je préparerai un bon goûter pour notre pause de l'après-midi.","Hwenu e a na ɖò wema ɖagbeɖagbe elɔ xà wɛ é ɔ, un na ɖa nǔɖuɖu klewun ɖé nú gbɔjɛ mǐtɔn hwelɛkɔ tɔn."
Il faudrait que les élèves écoutent plus attentivement les consignes avant de commencer leurs exercices.,Azɔ̌mɛví lɛ ɖó na ɖótó alixlɛ́mɛ lɛ ganji cobo na bɛ́ azɔ̌ yetɔn lɛ.
"Nous avons cueilli des champignons dans la forêt, mais nous ne les avons pas cuisinés tout de suite.","Mǐ cyan bǎ ɖé lɛ ɖò zungbó ɔ mɛ, amɔ̌, mǐ ɖa ye tlolo ǎ."
"Je ne pense pas qu'il puisse arriver à l'heure, car la circulation est extrêmement dense ce matin.","Un ɖi ɖɔ é sixu wá ɖò ganmɛ ǎ, ɖó mɔ̌to lɛ sukpɔ́ tawun zǎnzǎn égbé."
"Après avoir longuement hésité, elle choisit finalement la robe bleue pour la cérémonie de mariage.","Ee é xò nǔ kpɔ́n tawun gudo é ɔ, é wá sɔ́ awu blúblú e é na dó ɖò alɔwliwli sín nǔwiwa ɔ hwenu é."
"Pourvu que le soleil brille pendant notre semaine de vacances en Corse, au bord de la mer.","Mi ni ɖó nukún ɖɔ hwesivɔ na kɔ́n ɖò aklunɔzán gbla mǐtɔn sín xwèɖuɖu hwenu ɖò Corse, ɖò xù tó."
ici 30 phrases descriptives en français :,Xógbe tinmɛ tɔn 30 ɖíe ɖò Flanségbe mɛ:
Le vieux chat roux dort paisiblement sur le canapé.,Awǐi dotɛ kpikpo ɔ ɖò amlɔ dɔ́ wɛ ɖò fífá mɛ ɖò sofáa ɔ jí.
La mer turquoise scintille sous le chaud soleil d'été.,Xù turquoise ɔ nɔ kɔ́n ɖò hwesivɔ ɖaxó e nɔ tɔ́n ɖò hwenu e è nɔ bló jɔhɔn é glɔ́.
Une petite librairie ancienne se cache au coin de la rue.,Wemaxɔ kpɛví e nyí xóxó é ɖé ɖò hwlahwlá ɖò zwe ɔ jí.
Le gâteau au chocolat embaume délicieusement toute la cuisine.,Chocolat wɔxúxú ɔ gɔ́ adoxwɛsá ɔ bǐ kpo wǎn víví ɖé kpo.
La montagne enneigée se dresse majestueusement dans le ciel bleu.,Só e jí laglasi ɖè é fɔ́n bo ɖò jinukúnsin blúblú ɔ kpɔ́n wɛ kpo yɛ̌yi kpo.
Ses longs cheveux bruns dansaient doucement dans le vent.,Ɖa tɔn gaga vɔvɔ ɔ ɖo we ɖu wɛ dɛdɛ ɖo jɔhɔn mɛ.
La soupe de légumes mijote lentement dans la grande marmite.,Amasin ɔ ɖò jiji wɛ ɖɛɖɛ ɖò zɛ̌n ɖaxó ɔ mɛ.
Ce vieux livre à la couverture usée sent bon le papier.,Wema xóxó enɛ e sín akpà ko gblé é nɔ hwɛ́n wema sín wǎn ɖagbe ɖé.
Une épaisse couche de neige recouvre le jardin silencieux.,Laglási ɖaxó ɖé cyɔn jikpá e mɛ è ma nɔ ɖɔ xó ɖè ǎ é jí.
Le ciel nocturne est constellé de mille étoiles brillantes.,Sunví afatɔ́n e nɔ kɔ́n lɛ é wɛ gɔ́ jinukúnsin zǎnmɛ.
Son regard doux et pétillant illumine son visage joyeux.,Nukún tɔn e víví bo nɔ kɔ́n é nɔ kɔ́n ɖò nukúnmɛ tɔn e ɖò awǎjijɛ mɛ é jí.
Les feuilles mortes forment un tapis orangé dans l'allée.,Ama kúkú lɛ nɔ bló kɔ́fu vɔvɔ ɖé ɖò mɔ̌to ɔ sín ali ɔ jí.
La ville lumière s'éveille doucement dans le brouillard matinal.,Toxo Weziza tɔn ɔ nɔ fɔ́n bléblé ɖò ahún zǎnzǎn tɔn mɛ.
Le bois sculpté révèle des détails d'une finesse incroyable.,Atín e è kpa é nɔ ɖè nǔ ɖagbeɖagbe lɛ xlɛ́ bɔ è sixu ɖi nǔ na ǎ.
Un parfum de fleurs fraîches flotte dans la pièce.,Flówa yɔyɔ̌ lɛ sín wǎn ɖò xixo wɛ gbɔn xɔ ɔ mɛ.
Le petit port de pêche sent le poisson et les embruns.,Tɔjihunkpó kpɛví e mɛ è nɔ wlí hweví ɖè é nɔ hwɛ́n hweví kpo xù sín jɛ̌ kpo sín wǎn.
Son sourire éclatant et sincère illuminait toute la pièce.,Nukiko tɔn e nɔ kɔ́n bo nɔ lɛ́ nyí nǔjɔnǔ é kɔ́n xɔ ɔ mɛ bǐ.
La valise en cuir usée est couverte d'autocollants de voyage.,È sɔ́ nǔ e è nɔ tɛ́ dó tomɛyiyi wu lɛ é dó cyɔn tomɛyiyi sín saki e è sɔ́ anyǔ dó bló é jí.
La musique classique emplit l'église de ses notes solennelles.,Han hwexónu tɔn lɛ nɔ gɔ́ sinsɛnxɔ ɔ mɛ kpo hanjiji tɔn e è nɔ sè ɖò taji lɛ é kpo.
Un chemisier en soie bleue repose délicatement sur le lit.,Blouse soie bleu ɖé nɔ j’ayǐ ɖò zan ɔ jí b’ɛ nɔ cí ɖɛkpɛɖɛkpɛ.
Les vagues puissantes s'écrasent avec fracas contre les rochers.,Tɔjihun syɛnsyɛn lɛ nɔ xò só lɛ syɛnsyɛn.
Le brouillard épais masque complètement le sommet de la colline.,Ahún ɖaxó ɔ cyɔn só ɔ ta bǐ mlɛ́mlɛ́.
Ses mains calleuses et puissantes racontent une vie de travail.,Alɔ tɔn e ma ɖó hlɔnhlɔn ǎ bo lɛ́ ɖó hlɔnhlɔn lɛ é nɔ ɖɔ azɔ̌ e é wà ɖò gbɛzán tɔn bǐ mɛ é sín tan.
Le marché coloré déborde d'odeurs et de cris joyeux.,Wǎn kpo awǎjijɛ sín xósusu kpo wɛ ɖò axi e mɛ è nɔ mɔ nǔ vovo lɛ ɖè é gɔ́ wɛ.
Un profond silence règne dans la bibliothèque vide.,Nǔ cí cúɖúɖú ɖé ɖò wemaxɔ e ɖò vɔ̌ é mɛ.
La lumière chaude de la lampe éclaire doucement le bureau.,Weziza zozo e ɖò zogbɛ́n ɔ mɛ é nɔ kɔ́n dó tavo ɔ jí bléblé.
La toile abstraite explose en une multitude de couleurs vives.,Avɔ e è ma nɔ mɔ ǎ é nɔ gbà dó sinmɛ e ɖò wěxo lɛ é gègě mɛ.
Le vent glacial siffle à travers les volets mal fermés.,Jɔhɔn laglasi tɔn ɔ nɔ xò kɔ́ gbɔn hɔnsúnú e è ma sú ganji ǎ lɛ é mɛ.
Un fin rayon de lune perce l'obscurité de la chambre.,Sunví sín weziza kpɛví ɖé nɔ gbɔn ablu e ɖò xɔ ɔ mɛ é mɛ.
La robe de soirée rouge descend en cascade de soie légère.,Gbadanu sín awu vɔvɔ ɔ nɔ j’ayǐ ɖò linfín fɛ́ɖɛ́fɛ́ɖɛ́ mɛ.
"Le savoir ne pèse pas lourd, mais il élève toujours.","Nǔnywɛ sixu ma syɛn sɔmɔ̌ ǎ, amɔ̌, é nɔ sɔ́ mɛ sù hwebǐnu."
Qui ouvre un livre ouvre son esprit au monde.,Wema ɖé hunhun nɔ hun ayi mɛtɔn dó gbɛ̀ ɔ jí.
La sagesse commence là où s’arrête la certitude.,Nǔnywɛ́ nɔ bɛ́sín fí e nǔ e ɖò wɛn é nɔ fó ɖó é.
Le doute est le début de la véritable connaissance.,Nǔxokpɔ́n wɛ nyí bǐbɛ̌mɛ nǔnywɛ nǔgbo ɔ tɔn.
Connais-toi toi-même avant de vouloir connaître le monde.,Tuùn hwiɖée cóbó ba ná tunwun gbɛ ɔ́.
Un esprit curieux n’a jamais besoin de vacances.,Ayixa e nɔ ba na tuùn nǔ é ɖó hudo gbɔjɛ tɔn gbeɖé ǎ.
La plus belle des cultures est celle du cœur.,Akɔta e nyɔ́ ɖɛkpɛ hú bǐ é wɛ nyí ayixa tɔn.
Les leçons du passé éclairent les chemins du futur.,Nǔkplɔnmɛ e jɛ wá yì lɛ é nɔ kɔ́n ali e jí è na gbɔn ɖò sɔgudo lɛ é.
Savoir écouter est parfois plus sage que parler.,"Hweɖelɛnu ɔ, lee è na ɖótó mɛ gbɔn é tuùntuùn nɔ nyɔ́ hú xóɖiɖɔ."
La vraie richesse ne se compte pas en pièces.,È sixu sɔ́ akwɛ dó jlɛ́ dɔkun nǔgbo ɔ na ǎ.
Il n’y a point de génie sans un grain de folie.,Nǔnywɛtɔ́ ɖěbǔ tíìn bɔ taɖunɔ ɖé ma ɖ’emɛ ǎ ǎ.
Les voyages forment la jeunesse et instruisent les sages.,"Tomɛyiyi nɔ gbló ada nú ayi mɛ, bo nɔ lɛ́ kplɔ́n nǔ mɛ e ɖó nǔnywɛ lɛ é."
Celui qui questionne porte un flambeau dans la nuit.,Mɛ e nɔ kan nǔ byɔ́ mɛ ɔ́ nɔ́ hɛn zogbɛ́n zǎnmɛ.
La patience est l’arbre dont la racine est amère.,Suúluɖiɖó wɛ nyí atín e ɖɔ tɔn vɛ́ é.
La culture rend capable de douter de ses certitudes.,Aca lɛ nɔ zɔ́n bɔ mǐ nɔ xò nǔ kpɔ́n dó nǔ e mǐ tuùn ganji lɛ é jí.
Le temps révèle ce que la ruse cache toujours.,Hwenu nɔ ɖè nǔ e mɛblɛblɛ nɔ hwla hwebǐnu é xlɛ́.
L'homme cultivé n'est jamais seul dans une pièce.,Nya e ɖó aca é nɔ nɔ éɖokpo ɖò xɔ ɖé mɛ gbeɖé ǎ.
Une parole gentille peut réchauffer trois mois d'hiver.,Xó xomɛnyínyɔ́ tɔn ɖé sixu hɛn zozo ɖò avivɔ hwenu sun atɔn mɛ.
Mieux vaut savoir souffrir que toujours ignorer.,É nyɔ́ hú ɖɔ è ni tuùn lee è nɔ jiya gbɔn é hú è ni nɔ gɔn ayi ɖó jí hwebǐnu.
"ici 30 phrases en français sur la catégorie ""Questions & Besoins"", au format standard demandé :","Xógbe 30 ɖíe ɖò Flanségbe mɛ ɖò xóta &quot;Questions &amp; Needs&quot; mɛ, ɖò alɔkpa e è byɔ é mɛ:"
Pourriez-vous m'indiquer le chemin pour la gare ?,A sixu ɖɔ ali e nu mi na yi pipan tεnmε ɔ nu mi a ?
Avez-vous un moment à m'accorder s'il vous plaît ?,"A ɖó hwenu kpɛɖé bo na nɔte à, kɛnklɛn à ?"
Je cherche une pharmacie de garde à proximité.,Un ɖò atínkɛ́nsá e nɔ w&#39;azɔ̌ nú ganxixo 24 é ba wɛ ɖò fí e sɛkpɔ mì é.
Où puis-je trouver un bon restaurant dans le coin ?,Fitɛ un ka sixu mɔ nuɖutɛn ɖagbe ɖe ɖo to ɔ mɛ?
Auriez-vous la monnaie pour un billet de vingt ?,A ka ɖó ɖyɔɖyɔ nú akwɛ́ kanɖé à ?
J'aurais besoin de vos lumières sur ce sujet.,Un na ɖó hudo nukúnnúmɔjɛnǔmɛ towe tɔn dó xóta enɛ jí.
Est-ce que quelqu'un pourrait m'aider à porter ce carton ?,Mɛɖé ka sixu d’alɔ mì bɔ un na hɛn gbǎví elɔ à?
Savez-vous à quelle heure ferme la boutique ?,A ka tuùn gan nabi e mɛ axi ɔ nɔ sú é à ?
Avez-vous ce modèle de chaussures en pointure 42 ?,A ka ɖó afɔkpa elɔ sín ɖiɖe ɖò ɖaxó 42 mɛ à ?
"Pourrais-je avoir un verre d'eau, s'il vous plaît ?",Un sixu nu sin kɔfu ɖokpo a‚ kɛnklɛn à ?
Je recherche un hôtel pas trop cher dans le secteur.,Un ɖò otɛli e xɔ akwɛ é ba wɛ ɖò xá ɔ mɛ.
Serait-il possible de visiter les lieux maintenant ?,È ka na kpéwú bo yì ba fí e è bló kplé ɖè é kpɔ́n dìn à?
Est-ce que vous parlez anglais ? Je ne comprends pas.,A nɔ dó Glɛnsigbe à ? Un mɔ nukúnnú jɛ mɛ ǎ.
J'aimerais connaître votre avis sur ce projet.,Un jló ná tuùn linlin mitɔn dó azɔ̌ élɔ́ wú.
Pourrions-nous fixer un rendez-vous la semaine prochaine ?,Mǐ ka sixu bló tuto kplé ɖé tɔn nú aklunɔzán gbla e bɔ d’ewu é à?
Connaissez-vous un bon médecin qui parle français ?,A ka tuùn dotóo ɖagbe ɖé bo nɔ dó Flanségbe à ?
Je voudrais échanger ce pull contre une taille au-dessus.,Un jló ná ɖyɔ sweta élɔ́ kpódó ɖaxó ɖé kpó.
Où se trouve l'arrêt de bus le plus proche ?,Fitɛ hùn nɔte ɖe sɛkpɔ we hu ?
"Auriez-vous l'heure, s'il vous plaît ?",A ɖó hwenu à‚ kɛnklɛn à ?
"ici 30 phrases descriptives en français, format standard.","Xógbe tinmɛ tɔn 30 ɖíe ɖò Flanségbe mɛ, ɖò alɔkpa e è nɔ zán é mɛ."
Le ciel est d'un bleu profond et sans nuages.,"Jinukúnsin nyí blɔɖó gɔngɔn ɖé, bɔ akpɔ́kpɔ́ ɖě ɖò finɛ ǎ."
Cette vieille maison a un charme mystérieux et fou.,Xwé xóxó élɔ́ ɖó ɖɛkpɛ nǔbúdo kpódó taɖunɔ kpó.
Son sourire illumine toute la pièce instantanément.,Nukiko tɔn kɔ́n xɔ ɔ bǐ mɛ tlolo.
La forêt est calme après la pluie matinale.,Zùn ɔ cí xwii ɖò jǐ e ja zǎnzǎn é gudo.
Un parfum de lavande flottait doucement dans l'air.,Lavender sín wǎn ɖé ɖò xixo wɛ ɖò jɔhɔn mɛ bléblé.
Les vagues s'écrasent avec force sur les rochers.,Tɔsisa ɔ nɔ xò só lɛ syɛnsyɛn.
Il porte toujours un vieux chapeau de paille usé.,É nɔ dó gǒjiblanú xóxó e ko gblé é ɖé hwebǐnu.
La soupe mijote lentement dans la grande marmite.,Nùsúnnú ɔ nɔ fyɔ́ ɖɛɖɛ ɖò zɛ̌n ɖaxó ɔ mɛ.
Ses yeux verts pétillent de malice et d'intelligence.,Nukún tɔn amamú lɛ nɔ kɔ́n ɖó nǔnyanyawiwa kpo nǔnywɛ kpo wu.
Le vent fait danser les feuilles mortes sur le sol.,Jɔhɔn nɔ zɔ́n bɔ ama kúkú lɛ nɔ ɖu we ɖò kɔ́mɛ.
Ce gâteau a l'air incroyablement délicieux et fondant.,Cake enɛ ɔ cí nǔ e víví tawun bo lɛ́ fá é ɖɔhun.
La ville s'éveille doucement aux premiers chants d'oiseaux.,Toxo ɔ fɔ́n kpɛɖé kpɛɖé ɖó xɛví sín han nukɔntɔn ɔ wu.
Son regard est doux et plein de tendresse infinie.,Nukúnmɛ tɔn fá bo gɔ́ nú xomɛnyínyɔ́ ma ɖó dogbó.
Les montagnes se découpent sur l'horizon rougeoyant.,Só lɛ nɔ tɔ́n ɖò jǐnukúnsin vɔvɔ e ɖò jiji wɛ é nukɔn.
Il règne dans cette pièce une atmosphère paisible.,Fífá ɖé ɖò xɔ enɛ mɛ.
Elle porte une robe légère et fleurie pour l'été.,"É dó awu ɖé bɔ é fá, bo ɖó flowa nú hwenu e è nɔ bló jɔhɔn é."
Le bruit de la pluie est incroyablement apaisant aujourd'hui.,Jǐ sín gbè nɔ fá kɔ nú mɛ tawun égbé.
Cet homme a un visage marqué par le temps.,Nya élɔ́ ɖó nukúnmɛ e hwenu nɔ ɖó wuntun é.
La lumière du soir dorait les toits de la ville.,Gbadanu sín weziza nɔ kɔ́n toxo ɔ sín xɔta lɛ.
Son chien est fidèle et toujours de bonne humeur.,Cuku tɔn nɔ nɔ gbeji bo nɔ ɖò ayi ɖagbe mɛ hwebǐnu.
Une épaisse couche de neige recouvre la campagne.,Laglási ɖaxó ɖé wɛ cyɔn gletoxo ɔ jí.
Le marché regorge de couleurs et d'odeurs alléchantes.,Axi ɔ gɔ́ nú sinmɛ vovo lɛ kpo wǎn e nɔ dɔn mɛ lɛ é kpo.
Il a un rire communicatif et sincèrement chaleureux.,É ɖó nǔkiko e nɔ hɛn mɛ gble bo nɔ lɛ́ hɛn xomɛ hun mɛ tawun é ɖé.
Cette musique est douce et mélancolique à la fois.,Han enɛ nɔ fá bo nɔ lɛ́ dó aluwɛ mɛ.
Elle a préparé un repas simple mais délicieux.,"É ɖa nǔɖuɖu klewun ɖé, amɔ̌, é víví."
Son bureau est toujours parfaitement rangé et organisé.,Azɔ̌xɔsa tɔn nɔ ɖò tito jí bo nɔ lɛ́ ɖò tuto jí ganji hwebǐnu.
Un chat roux dort paisiblement sur le rebord de la fenêtre.,Awǐi dotɛ tɔn ɖé nɔ dɔ́ amlɔ ɖò fífá mɛ ɖò flɛtɛli ɔ nu.
La nuit étoilée offre un spectacle grandiose et infini.,Zǎn e mɛ sunví lɛ gɔ́ é nɔ na nǔ ɖagbeɖagbe e ma nɔ fó ǎ é ɖé mɛ.
Ses mains sont habiles et précises dans le travail.,"Alɔ tɔn lɛ́ɛ bí ganjí, bó nɔ́ wa azɔ̌ yětɔn ganjí."
"Hier matin, alors que je prenais mon café tranquillement, le facteur a soudainement sonné à la porte avec un colis pour moi.","Sɔ̀ zǎnzǎn, hwenu e un ɖò kafé ce nu wɛ tlítlí é ɔ, posu-sɛ́dó ɔ xò hɔn ɔ sín gan ajijimɛ ɔ kpo agban ɖé kpo nú mì."
"Dès que tu auras fini de ranger ta chambre, nous pourrons enfin aller manger cette glace dont tu rêves depuis ce matin.","A ko jla xɔ towe ɖó fó tlolo ɔ, mǐ sixu wá ɖu glacé enɛ e a ɖò dlɔ̌ kú wɛ sín zǎnzǎn égbé é."
"Si j'avais su qu'il pleuvrait autant, j'aurais certainement pris mon parapluie avant de quitter précipitamment mon appartement.","Enyi un ko tuùn ɖɔ jǐ na ja sɔmɔ̌ wɛ ɔ, un na ko hɛn awlɛnwín ce cobo yawu gosin xɔ ce mɛ."
"Pendant que tu étais absent, quelqu'un a téléphoné à plusieurs reprises, mais la personne a raccroché chaque fois sans laisser le moindre message.","Hwenu e a ɖò zɔ é ɔ, mɛɖé ylɔ we azɔn mɔkpan, amɔ̌, mɛ ɔ nɔ ɖó alokan ɔ te hweɖebǔnu, bo nɔ jó wɛn ɖé dó ǎ."
"L'année prochaine, nous envisageons sérieusement de voyager au Japon pour admirer enfin les célèbres cerisiers en fleurs.","Xwè e ja é mɛ ɔ, mǐ ɖò tamɛ lin dó tomɛyiyi Japon tɔn jí wɛ tawun, bo na wá kpɔ́n cerise e è tuùn ganji lɛ é."
"Quand je suis arrivé à la gare, j'ai malheureusement constaté que le train était déjà parti depuis cinq longues minutes.","Hwenu e un wá jɔmɛhunj’ayǐtɛn ɔ é ɔ, é blawu ɖɔ un mɔ ɖɔ jɔmɛhun ɔ ko ɖido cɛju gaga atɔ́ɔ́n jɛ nukɔn."
"Il faudra que tu éteignes toutes les lumières du salon avant de monter te coucher ce soir, s'il te plaît.","A na ɖó na cí zogbɛ́n e ɖò salon ɔ mɛ lɛ é bǐ cobo na yì mlɔ́ ayǐ zǎn elɔ mɛ, kɛnklɛn."
"Après qu'il eut soigneusement expliqué sa théorie complexe, les étudiants, impressionnés, ont longuement applaudi leur professeur passionné.","Ee é tinmɛ nǔkplɔnmɛ tɔn e gɛ́dɛ́ é ganji gudo é ɔ, nǔkplɔntɔ́ e jiwǔ nú ye lɛ é xò alɔ nú mɛ̌si yetɔn e ɖó jlǒ ɖaxó é nú táan gegě."
"Nous habitons cette charmante petite ville depuis bientôt dix ans, et nous nous y plaisons vraiment beaucoup, tu sais.","Mǐ ko nɔ toxo kpɛví ɖɛkpɛɖɛkpɛ enɛ mɛ sín xwè wǒ mɔ̌ ɖíe, bɔ mǐ yí wǎn nú fí tawun, a tuùn."
"Autrefois, les gens écrivaient de longues lettres pour prendre des nouvelles de leurs proches éloignés, c'était une autre époque.","Ð’ayǐ ɔ, mɛ lɛ nɔ wlan wema gaga lɛ dó mɔ wɛn hɛnnumɔ yetɔn e ɖò zɔ lɛ é tɔn; hwenu ɖevo wɛ é nyí."
"Elle viendra certainement nous rendre visite pendant les vacances de Noël, à condition que son travail le lui permette bien sûr.","É na wá ba mǐ kpɔ́n ɖò Natáaxwe sín xwè lɛ hwenu dandan, enyi azɔ̌ tɔn na gbè ɛ ɔ nɛ."
"Dès qu'il eut aperçu son amie dans la foule, il lui fit immédiatement de grands signes pour attirer son attention.","Tlolo e é mɔ xɔ́ntɔn tɔn ɖò agǔn ɔ mɛ é ɔ, é yawu xò alɔ tɔn syɛnsyɛn bo na dó dɔn ayi tɔn wá éɖée jí."
"Nous étions en train de dîner tranquillement lorsque soudain, une panne d'électricité plongea tout le quartier dans le noir.","Mǐ ɖò gbadanu nùɖuɖu ɖé ɖu wɛ ɖò cícící mɛ, bɔ ajijimɛ ɔ, hlɔnhlɔn ɖé kú bɔ ablu gɔ́ xá ɔ bǐ mɛ."
"Il est essentiel que vous finissiez ce rapport complexe avant vendredi, car le directeur le réclame avec insistance.","É ɖò taji ɖɔ a ni fó gbeɖiɖó e vɛwǔ é enɛ cobɔ Vɔsanúxwlémawutɔ́zɔ́ ɔ na wá, ɖó gǎn ɔ ɖò biba wɛ kpo kanɖodonǔwu kpo."
"Chaque été, mes grands-parents nous racontaient avec émotion leur rencontre romantique sur une plage de Normandie.","Hwenu e jǐ nɔ ja é tɛgbɛ ɔ, tɔ́gbó ce lɛ nɔ ɖɔ wanyiyi e ye mɔ ɖò tɔ̀ tó ɖò Normandie é nú mǐ kpo ayi bǐ kpo."
"Quand tu seras grand, tu comprendras enfin pourquoi nous avons pris toutes ces décisions difficiles pour toi.","Enyi a sù ɔ, a na wá mɔ nukúnnú jɛ nǔ e wu mǐ wá gbeta vɛwǔ enɛ lɛ bǐ kɔn nú we é wu."
"Le spectacle avait déjà commencé lorsque les retardataires, essayant de se faufiler, cherchèrent désespérément leurs places dans le noir.","Nǔwiwa ɔ ko bɛ́ hwenu e mɛ e wá gudo lɛ é, bo ɖò tintɛnkpɔn wɛ bo na hwlɛn yeɖée gán, bo ɖò tɛn yetɔn lɛ ba wɛ kpo kanɖodonǔwu kpo ɖò ablu mɛ é."
"Pendant que tu promèneras le chien dans le parc, je préparerai rapidement le dîner pour ce soir, d'accord ?",Hwenu e a na ɖo cuku ɔ ɖiɖɔ wɛ ɖo jikpá ɔ mɛ ɔ‚ un na yawu ɖa gbadanu nuɖuɖu nu zanzan elɔ‚ e nyɔ ?
"Il aurait préféré que nous le prévenions plus tôt de notre arrivée imprévue, afin de pouvoir mieux nous recevoir.","É na ko nyɔ́ n’i ɖɔ mǐ ni ko gb’akpá n’i dó fí e mǐ wá ɖò ajijimɛ é wu jɛ nukɔn, bonu é na dó sixu yí mǐ ganji."
"Nous aurions aimé visiter ce célèbre musée, malheureusement il était fermé pour cause de travaux de rénovation cette semaine-là.","Mǐ na ko yí wǎn nú nǔ e è nɔ hɛn ɖ’ayǐ ɖò xɔgbigbázɔ́watɛn nukúnɖeji enɛ é yiyi, é blawu ɖɔ è sú i ɖó nǔ lɛ jijlaɖó wu ɖò aklunɔzán gbla enɛ mɛ."
"Pourvu que le soleil brille pendant notre week-end à la mer, nous pourrions enfin nous baigner et nous détendre un peu.","Enyi hwesivɔ na bo tlɛ hɔ́n ɖò aklunɔzán gblamɛ fifó mǐtɔn e ɖò xùtó é mɛ ɔ, mǐ sixu wá lɛ tɔ bo gbɔjɛ kpɛɖé."
Elle regretta amèrement de ne pas avoir suivi les conseils avisés de sa meilleure amie concernant cette affaire délicate.,É vɛ́ n’i tawun ɖɔ é kún xwedó wěɖexámɛ nùnywɛ tɔn xɔ́ntɔn tɔn vívɛ́ ɔ tɔn dó xó syɛnsyɛn enɛ wu ó.
"Aussitôt que le professeur eut posé la difficile question, plusieurs étudiants levèrent timidement la main pour tenter d'y répondre.","Ee mɛ̌si ɔ kàn nǔ e vɛwǔ é byɔ tlolo é ɔ, wemaxɔmɛví gègě sɔ́ alɔ yetɔn lɛ jǐ kpo winnya kpo bo na dó tɛ́n kpɔ́n bo na na xósin na."
Nous allions enfin sortir du bureau quand notre patron nous demanda soudain de terminer un dossier très urgent.,Mǐ wá tɔ́n sín azɔ̌xɔsa ɔ mɛ hwenu e gǎn mǐtɔn byɔ mǐ ajijimɛ ɖɔ mǐ ni fó wema e ɖò dandan tawun é ɖé é.
"Bien que tu aies travaillé très sérieusement toute cette année, tes résultats pourraient encore être améliorés, tu sais.","A ko w’azɔ̌ syɛnsyɛn ɖò xwè ɔ bǐ mɛ có, nǔ e a mɔ lɛ é sixu kpó ɖò ɖagbe hugǎn wɛ, a tuùn."
"La conférence avait à peine débuté que déjà quelques spectateurs, fatigués, commençaient à somnoler discrètement sur leurs sièges.",Kpléɖókpɔ́ ɔ ko bɛ́ tlolo bɔ nǔkpɔntɔ́ e nǔ cikɔ na lɛ é ɖé lɛ ko jɛ amlɔ dɔ́ jí ɖò nǔglɔ ɖò zinkpo yetɔn lɛ jí.
"Tous les dimanches matins, nous allons acheter des croissants encore chauds à la boulangerie du coin de la rue.","Aklunɔzángbe zǎnzǎn tɛgbɛ ɔ, mǐ nɔ yì xɔ croissant e kpó ɖò zozo wɛ lɛ é ɖò wɔxúxúbatɛn e ɖò zwe jí é."
"Dès son plus jeune âge, elle manifesta un talent exceptionnel pour la musique et plus particulièrement pour le violon.","Sín hwenu e é ɖò vǔ tawun é ɔ, é ɖè nǔwukpikpé bunɔ ɖé xlɛ́ ɖò hanjiji linu, bɔ ɖò taji ɔ, ɖò violon mɛ."
"Pendant que nous marcherons en montagne, n'oublie surtout pas de rester bien sur le sentier balisé pour des raisons de sécurité.","Hwenu e mǐ ɖò zɔnlin ɖi wɛ ɖò só lɛ jí é ɔ, kɛnklɛn bo flín ɖɔ emi ɖó na nɔ ali e è ɖó wuntun é jí ɖó ayijayǐ wutu."
