fon,fr
É lɛ́ sín Kútɔ́nú,Il est revenu de Cotonou.
Asúká wɛ̀,Il est viril.
ye nɔ nɔ kplekple mε ɖo zun ɖaxo mε ɖo agun ɖe lε tεntin,ils habitent par groupes dans la forêt entre les autres tribus
glɔ̆,inférieur
mεɖomεsí,inférieur
jlε̆ nŭ nú mε,indiquer à quelqu'un
Lĕe a jɔ ɔ nɛ́,Voilà comme tu es.
jlɔ̆ hwiɖéé,redresse
Mɔyízi kpó Aalɔ́ɔn kpó ká bló nǔ e Mawu Mavɔmavɔ ɖɔ é: Aalɔ́ɔn dlɛ́n kpo tɔn bó zin dó kɔ́gúdu mɛ; bɔ kɔ́gúdu ɔ́ húzú jɔ̌ bó kpé gbɛtɔ́ kpó kanlin kpó wú. Kɔ́gúdu e ɖo Ejípu to ɔ́ mɛ ɔ́ bǐ húzú jɔ̌.,"Ils firent ainsi. Aaron étendit sa main, avec sa verge, et il frappa la poussière de la terre; et elle fut changée en poux sur les hommes et sur les animaux. Toute la poussière de la terre fut changée en poux, dans tout le pays d'Égypte."
ahwannɛ́ élɔ́ kló bó cí kujuù,ce pigeon est bien gros
Nukún tɔ́n nɔ́ tá myɔ nyɛ́nyɛ́nyɛ́,Ses yeux scintillent.
"Ée è mɛ Jeluzalɛ́mu dó ɔ́ fó ɔ́, è ylɔ́ Levíi ví lɛ́ɛ, bɔ yě gosín fí e yě ɖe lɛ́ɛ bǐ bó wá Jeluzalɛ́mu, bó ná wá ɖu gbe e gbe è na jó dǒ ɔ́ nú Mawu ɔ́ sín xwe bɔ é ná fɛ́ wǔ; yě ná ji susu kpa nú Mawu sín han, bó ná xo hǔn kpó kanhún kpó agǐdigbo kpó d'é mɛ.","Lors de la dédicace des murailles de Jérusalem, on appela les Lévites de tous les lieux qu'ils habitaient et on les fit venir à Jérusalem, afin de célébrer la dédicace et la fête par des louanges et par des chants, au son des cymbales, des luths et des harpes."
"E blo kɛkɛ ɔ ɖo trolo ɔ, na ɖido","Aussitôt le vélo réparé, je m’en irai."
"Amɔ̌, mi cɔ́ miɖée bó má wɔn akɔ e Mawu Mavɔmavɔ, Mawu mitɔn jɛ xá mi é ó. Mi ma gba ó, mi ma lí vodún ó, mi ma bló nǔ ɖěbǔ sín akpajlɛ́ bó sɛn ó.","Veillez sur vous, afin de ne point mettre en oubli l'alliance que l'Éternel, votre Dieu, a traitée avec vous, et de ne point vous faire d'image taillée, de représentation quelconque, que l'Éternel, ton Dieu, t'ait défendue."
E na jì vĭ sunnu ɖokpo,Elle enfantera un fils.
"Bɔ mɛ e kpó yě kpó ɖo kpɔ́ lɛ́ɛ ná nǔ yě dó d'alɔ yě. Yě ná yě nǔ e è sɔ́ kpatágan dó bló ná lɛ́ɛ kpó ée è sɔ́ siká dó bló ná lɛ́ɛ kpó, kpó nǔzínzán lɛ́ɛ kpó, kpó kanlin kpó, kpódó nǔxɔ-akwɛ́ tɛnmɛ tɛnmɛ lɛ́ɛ kpó; è lɛ̌n nǔ e yě ɖésúnɔ jló bó ná ɖó Mawu xwé ɔ́ gbígbá wútu lɛ́ɛ d'é mɛ ǎ.","Tous leurs alentours leur donnèrent des objets d'argent, de l'or, des effets, du bétail, et des choses précieuses, outre toutes les offrandes volontaires."
Un kan xó by’ɛ́ b’ɛ́ tín dó mì,Je l’ai questionné et il a refusé de répondre.
aklà gùsí,beignet de graine de citrouille
gusí atà,beignet de graine de citrouille
gusí tà,beignet de graine de citrouille
ee ye wa kutɔnu ɔ mɔto lε ɖe bo nɔ nɔ te kpɔn mε ɖo hunɖotεn ɔ a,quand ils arrivent à cotonou est
Só lɛ nɔ tɔ́n ɖò jǐnukúnsin vɔvɔ e ɖò jiji wɛ é nukɔn.,Les montagnes se découpent sur l'horizon rougeoyant.
sún élɔ́ mɛ́ ɔ́ azan tɛ́ gbe mi na wá,quel jour de ce mois viendrez-vous
"Mawu Mavɔmavɔ bló mɔ̌ ɖó é sɔ́ jló ná mɔ Judáa to ɔ́ ɖó nukún wú ǎ, ɖó hwɛ e Manasée hu lɛ́ɛ,","Cela arriva uniquement sur l'ordre de l'Éternel, qui voulait ôter Juda de devant sa face, à cause de tous les péchés commis par Manassé,"
un wá fí kákáká un ka mɔ wè ɖò xwé ă,je suis venu ici plusieurs fois mais je ne t'ai pas trouvé à la maison
amisa,messe
Un mɔ ɛ̀ ganaganà b’ɛ́ ɖò ajo ja wɛ̀,Je l’ai pris en flagrant délit de vol.
Un ɖì Măwŭ,Je crois en Dieu.
"Énɛ́ ɔ́, Mawu Mavɔmavɔ ɖésú sɛ́ hwemí kpó zo kpó dó sín jǐxwé bɔ yě ja kɔn nyi Sodɔ́mu kpó Gomɔ́ɔ kpó jí.","Alors l'Éternel fit pleuvoir du ciel sur Sodome et sur Gomorrhe du soufre et du feu, de par l'Éternel."
É nɔ́ wà yɛ nú,C’est un hypocrite.
sunfífó,fin du mois
sunfúfó,fin du mois
Xɛ̀ ɖè kpɔ́n ɖĕ,Un oiseau a regardé un autre oiseau.
mi ɖo vi atɔn sunnu wε nyɔnu ɖokpo,nous avons trois enfants deux garçons et une fille
Amɔ e ba nu bubu lɛ gbɔn fi bi,Mais il chercha partout les objets disparus.
nyɛ lɔ̀ mɔ̀ ké,moi aussi
"ɖó yě kɛ nu ɔ́, hwɛ jɛ́n yě nɔ́ hu dó we. Goyíyí yě ɖésúnɔ tɔn ní nyí mɔ nú yě jɛ mɛ. Ɖó nu dó mɛ wɛ jɛ́n yě nɔ́ ɖe, adingban ɖó wɛ jɛ́n yě nɔ́ ɖe.",Leur bouche pèche à chaque parole de leurs lèvres : Qu'ils soient pris dans leur propre orgueil ! Ils ne profèrent que malédictions et mensonges.
Mi kɛnklɛn bo hɛn dó ayi mɛ ɖɔ mi ɖó na sú alokan mitɔn lɛ kpo nǔ ɖevo e è nɔ zán ɖò alokan jí lɛ é kpo cobɔ jɔmɛhun ɔ na jɛte.,Veuillez impérativement éteindre vos téléphones portables et autres appareils électroniques avant l'atterrissage de l'appareil.
Xwe ɖokpó hwà ɖokpó,Souhait de longue vie au début d’une nouvelle année.
é kpé tú dó xɛ ɔ́,il a visé l'oiseau avec son fusil
tɔ́ cè sɔ́ hwɛ̀ yètɔ́n lɛ́ kɛ̀ yĕ,père pardonne-leur
Bo nɔ bɛ ɖo kɛkɛvi ɔ mɛ,Et le chargent sur la charrette.
un ɖo saɖi wε kpodo awajijε nɔ ce ka gbε nu mi,je me promène avec joie malgré la défense de ma mère
e nɔ ba wì,il reste prudemment à l'écart
"Ée é wá jɛ xwé gbe ɔ́, é zé jǐví bó já asi tɔn sín cyɔ ɖó donu wěwe, bó sɛ́ dó akɔta Izlayɛ́li tɔn wěwe lɛ́ɛ ɖokpó ɖokpó.","Arrivé chez lui, il prit un couteau, saisit sa concubine, et la coupa membre par membre en douze morceaux, qu'il envoya dans tout le territoire d'Israël."
"Izlayɛ́li ví lɛ́ɛ ɔ́, akɔta ɖé wɛ yě nyí, bó ɖó tamɛ ǎ; yě bí ǎ.","C'est une nation qui a perdu le bon sens, Et il n'y a point en eux d'intelligence."
"Dàgbo ce lɛ ɔ, Bɛnɛ́ wɛ yé gósin, bo e ji mi ɖo Amerika tomɛ",Mes ancêtres viennent du Bénin mais on m'a engendrée (je suis née) en Amérique.
Yè nábɔɛ́ tóó bó ná dó sà xó tɔ́n ɖíɖɔ́ lɛ́,Ils firent silence pour l’entendre parler.
nukɔngbɛví,l'ainée
"Xógbe klewun klewun 30 ɖíe dó nùnywɛ kpo aca kpo wu, ɖokpo ɖò linlin ɖokpo ɖokpo mɛ:","ici 30 phrases très courtes sur la sagesse et la culture, une par ligne :"
Vi lɛ e ɖo cica nu ato lɛ wɛ,Les enfants se moquent des singes.
Mawu Mavɔmavɔ ɖɔ nú Mɔyízi ɖɔ,"L'Éternel parla à Moïse, et dit:"
A mɔ à ? Yovozεn ɖagbe lε kpe hu bo blo nyanya ɔ ɖo ă,Tu vois ? Toutes les bonnes oranges n'ont pas amélioré la mauvaise.
"Hwi lɔnu wɛ mɛ bǐ nɔ́ kpɔ́n, bɔ a nɔ ná nǔɖuɖu mɛ bǐ dó gan mɛ.","Tous, avec espoir, tournent les yeux vers toi, c’est toi qui leur donnes leur nourriture en son temps."
"Tocɔ́xɔ ɖé ka ɖo toxo ɔ́ tɛ́ntin, bɔ è mɛ dǒ lɛ́ lɛ̌ dó. Fínɛ́ wɛ mɛ e ɖo toxo ɔ́ mɛ lɛ́ɛ, súnnu kpó nyɔ̌nu kpó, kpódó tonukún lɛ́ɛ kpó bǐ yi hɔn hwlá cí. Yě sú hɔn dó ta, bó yi cí xɔ ɔ́ ta aga.","Il y avait au milieu de la ville une forte tour, où se réfugièrent tous les habitants de la ville, hommes et femmes ; ils fermèrent sur eux, et montèrent sur le toit de la tour."
hwla ɖo,s'est caché
sɔ́ afɔ dó afɔdo ce mɛ̀,suis-moi
yovo ɖu nu ma ɖu desεε,un blanc ne mange pas sans manger un dessert
Adiì !,Mais hélas !
kújέdónùjĭ,obstination
nùxwíxwé,obstination
jinúkúnsún kɛ nu mawùn,le ciel s'ouvrit d'un seul coup
E gbada kwɛ do gan tɔn,II a détourné de l'argent de son patron
Un ɖò kɛ́ɖɛ́,Ça ne va pas mal.
fɔ́tɔ́fɔ́tɔ́,écrasé
gbìdí,écrasé
"Ée Jozɛ́fu wá xwé gbe ɔ́, yě bɛ̌ nǔ e yě hɛn bó ná ná ɛ lɛ́ɛ n'i, bó ɖe kɔ́ n'i.","Quand Joseph fut arrivé à la maison, ils lui offrirent le présent qu'ils avaient apporté, et ils se prosternèrent en terre devant lui."
abi ɖò tókpá n'í,il a des cicatrices d'abikou sur la tempe
"Zǎn kú, có un xwɛ ǎ, Mawu dɔn mì dó ablu mɛ, có un nɔ abwɛ̌ ǎ23.17 Wěfɔ élɔ́ ɔ́, è hɛn ɔ́, è nǎ lɛ́ ɖɔ gbɔn lě: Ayǐ nɔ hɔ́n, bɔ ablu ka nɔ dó dó yědɛɛ lɛ́ɛ jí..","Car ce ne sont pas les ténèbres qui m'anéantissent, Ce n'est pas l'obscurité dont je suis couvert."
un sɔ́ ná nɔ́ xá mi gaga ɖé ă,je ne serai plus longtemps avec vous
Mɛxo lɛ tuùn.,Les anciens savaient.
klέn afɔnyanyà,échouer dans une entreprise
Hwevi tɔ wε nyi tɔ enε ɔ lε.,Ces rivières sont poissonneuses
ye na do nu ɖo glemɛ,ils sèmeront le champ
"Lo ɔ́, Mawu Mavɔmavɔ ɖɔ nú mì ɖɔ: ‘Ma ɖi xɛsi n'i ó. Un ná jó é kpódó ahwangɔnu tɔn kpó to tɔn kpó nú we bɔ a nǎ wa nǔ tɔn lě e a wa Sihɔ́ni Amɔliti lɛ́ɛ xɔ́sú ɔ́ sín nǔ gbɔn é. Hɛcibɔ́ni wɛ é nɔ́ nɔ.’","L'Éternel me dit : Ne le crains point ; car je le livre entre tes mains, lui et tout son peuple, et son pays; tu le traiteras comme tu as traité Sihon, roi des Amoréens, qui habitait à Hesbon."
É sɔ́ ɖó kancica ɖebǔ xá xwédo tɔn ǎ.,Il n’a plus aucun contact avec sa famille.
"Nɔ vo, lin tamɛ.","Sois libre, pense."
"“Nyɛ wɛ nyí Mawu Mavɔmavɔ, Mawu towe e ɖe we tɔ́n sín Ejípu fí e a nyǐ kannumɔ ɖe é.","Je suis l'Éternel, ton Dieu, qui t'ai fait sortir du pays d'Égypte, de la maison de servitude."
e v'áxi dín,ça coûte trop cher
hun ɔ ɖo gbe ɖe wε ɖo kɔxota,le tam-tam retentit dans la cour
Ɖo tlolo mε ɔ,A l'instant
É ɖé,Elle-même.
kplɔ́nmásè,mal élevé
kplɔ́nmásènɔ̀,mal élevé
Target axi e ɖò dò é jí.,Cibler le bon marché.
un jɛ̀ nɛgbé tɔ̀n,il est mon aîné
un ja,j'arrive
"Axɔ́sú Ejípu tɔn ɔ́ nɔ́ gbɛ́ ɖɔ émí kún ná jó mǐ dó bɔ mǐ ná yi ó; énɛ́ ɔ́ wú ɔ́, Mawu Mavɔmavɔ hu nukɔngbéví gbɛtɔ́ kpó kanlin kpó bǐ tɔn ɖo Ejípu. Nǔ e wútu mǐ nɔ zé kanlin lɛ́ɛ sín nukɔngbéví asú lɛ́ɛ bǐ dó sá vɔ̌ ná nú Mawu Mavɔmavɔ bó ká nɔ́ sɔ́ akwɛ́ dó xɔ gbɛ nú nukɔngbéví gbɛtɔ́ lɛ́ɛ tɔn ɔ́ nɛ́.’","et, comme Pharaon s'obstinait à ne point nous laisser aller, l'Éternel fit mourir tous les premiers-nés dans le pays d'Égypte, depuis les premiers-nés des hommes jusqu'aux premiers-nés des animaux. Voilà pourquoi j'offre en sacrifice à l'Éternel tout premier-né des mâles, et je rachète tout premier-né de mes fils."
nukún tɛ́ a ɖò dìdó wɛ̀,que sèmes-tu
E nɔ́ lɛ glè,Il cultive le champ.
ylɔ̆ măwŭ nyikɔ́ yayá,jurer en vain
A ɖo wezunkinkan kpoɖo hun kpo sin hu do ă.,Tu n'avais pas besoin de conduire vite
Mi bɔ miɖéé,Rassemblez-vous.
vε̆,être cher
vέ axì,être cher
e nɔ́ sanfú ă,il s'en moque
ɖa tɔn cí kɛyɛɛ̀ aziza ɖa ɖɔ́hùn,ses cheveux sont ébouriffés comme la chevelure d'azizà
Vi eyεton wε,C'est son enfant
"Hanjiji nɔ fá kɔ nú lindɔ̌n mɛtɔn, bo nɔ lɛ́ na nǔɖuɖu gbigbɔ ɔ.",La musique adoucit les mœurs et nourrit l'âme.
É cí te xawùn,Il se leva d’un seul coup.
Akwɛ súsú ɖò ɛntɛnɛti jí ɖò ayijayǐ mɛ.,Paiement sécurisé en ligne.
"Kofi, a ɖo ɖagbe a ?","Kofi, vas-tu bien ?"
"Gbe énɛ́ ɔ́ gbe ɔ́, è sá vɔ̌ nú Mawu kpɔ́ gégé, bɔ mɛ bǐ ɖo awǎ jɛ wɛ, ɖó Mawu sɔ́ awǎjijɛnú ɖaxó ɖokpó dó así nú togun tɔn. Nyɔ̌nu lɛ́ɛ kpó yɔkpɔ́vú lɛ́ɛ kpó lɔmɔ̌ ɖo awǎ jɛ wɛ, bɔ awǎ e jɛ wɛ yě ɖe ɖo Jeluzalɛ́mu, bó ɖo xó sú wɛ ɔ́, è nɔ se ɖo zɔ.","On offrit ce jour-là de nombreux sacrifices, et on se livra aux réjouissances, car Dieu avait donné au peuple un grand sujet de joie. Les femmes et les enfants se réjouirent aussi, et les cris de joie de Jérusalem furent entendus au loin."
Fí ɖĕ é vɛ́ nú mí yí ɖó ɔ́,A quel point il m’est cher.
Awagan na acε awa nyitɔ,L’officier décore le soldat.
hwεɖɔtɔ́,juge
hwεgbotɔ́,juge
kú dó ayisɔnmɔ̆,merci pour la fois passée
anɔ̆,sein
nέnέ,sein
"Yě nɔ́ nɔ Galadi, bó nɔ́ nɔ Basáni kpó toxo e lɛ́ dó yě lɛ́ɛ kpó mɛ, bó nɔ́ nɔ nǔkan e lɛ́ dó Calɔ́ni toxo ɔ́ é mɛ, káká yi fí e dogbó yětɔn vɔ dó é.","Ils habitaient en Galaad, en Basan, et dans les villes de leur ressort, et dans toutes les banlieues de Saron jusqu'à leurs extrémités."
"É ná lɛ́ gosín fínɛ́, bó ɖidó Judɛ́ɛn tɔ ɔ́ tó, bó ná fó dó Xu Kúkú ɔ́ kɔn. To mitɔn sín dogbó lɛ́ɛ nɛ́.”","elle descendra encore vers le Jourdain, pour aboutir à la mer Salée. Tel sera votre pays avec ses limites tout autour."
"Étɛ́wú wɛ mi ka cí gbɔ̌kpó lɛ́ɛ kpá, bó ɖo tó xɔ́ gbɔ̌nyitɔ́ e ɖo gbɔ̌ yětɔn lɛ́ɛ ylɔ́ wɛ lɛ́ɛ wɛ? Ɛɛn! È ɖo nǔ dɔn wɛ magbokɔ ɖo Hwlibɛ́ni sín hɛ̌nnu lɛ́ɛ mɛ.","Pourquoi es-tu resté au milieu des étables A écouter le bêlement des troupeaux ? Aux ruisseaux de Ruben, Grandes furent les délibérations du coeur !"
kilo kanɖe gban nukun atɔɔn jεn un nɔ da,je pèse seulement 75 kg
É ɖò kúsu xo wɛ̀,Il se débat à l’agonie.
Mǐ na ɖó na tuùn ali e nu mǐ na yawu yì jɔmɛhunj’ayǐtɛn ɔ ɖè é.,Nous aurions besoin de connaître le chemin le plus rapide pour nous rendre à l'aéroport.
Nǔ e ɖò taji hugǎn é wɛ nyí nǔ e ɖò hwlahwlá é.,L’essentiel est caché.
Vodún wá ta tɔ̀n,Le vaudou est venu sur lui.
nyaɖe ɖu gan,un homme est nommé chef
kεlεbɔ̀,petit oiseau
títígwetí,petit oiseau
xɛví,petit oiseau
"Ma ɖó nukún ɖɔ é ná lɛ́ kɔ ó; gbeklanxámɛ tɔn nú huzuhuzu enɛ ɖò ayi mɛ, bɔ é ɖò gbesisɔmɛ bo na sú akwɛ e é na sú é éɖesunɔ.","N'espérez pas le voir plier ; son opposition à cette réforme est viscérale, et il est prêt à en payer le prix personnellement."
"Gbɔ e yi zunkanmɛ ɔ, e sɔ nɔ wa xwe a.",Le cabri qui est parti dans la forêt ne revient pas à la maison.
Nǔwiwa ɔ ko bɛ́ hwenu e mǐ wá é.,Le spectacle avait déjà commencé à notre arrivée.
jlɔ̆ ɖŏ,rectifier un compte
Mi yi jɔhɔn ɖagbe kpɛɖe.,Prenez l’air.
Un na yi ɖo gan tεnwe mε.,Je vais à sept heures
nu mi ɖyɔ gbeta gbeɖe hun mi ɖɔ nu mi,si jamais vous changez d'avis faites
a nyí mɛxó nú mì,tu es mon aîné
Sɛ́n tlolo,Commande urgente
sɔ́ jὲ,manger sans être rassasié
un ɖò gbe towe xo mlá wɛ̀,j'invoque ton nom
A nɔ ná hlɔ̌nhlɔ́n mì bɔ un nɔ dó fun ahwan; a nɔ zin kɛntɔ́ ce lɛ́ɛ dɛ́ ɖo nukɔn ce.,"Tu me ceins de force pour le combat, Tu fais plier sous moi mes adversaires."
"Akɔta nugbǒ ɔ nɔ klán mɛ ǎ, é nɔ bló afɔ ɖó agě e ɖò zɔ tawun bɔ gbɛtɔ́ nɔ mɔ kpɔ́n lɛ é tɛntin.","La vraie culture ne divise pas, elle tisse des ponts entre les rives éloignées de l'expérience humaine."
é bɛ́ lɛ̀n,il est devenu fou
E su kpɔ din,Il y en a beaucoup
Mǐ ɖó nǔ enɛ ɖò ayǐ ǎ.,Nous ne proposons pas ce produit en stock.
nyibúví jŏkɛɖɛkɛɖɛnɔ,un veau bien gras
Kpé nukún wŭ tɔ̀n,Soigne-le.
a ɖo kɛɖɛ à,es
etɛ a ɖu egbe,qu'as-tu mangé aujourd'hui
"Ée é wá toxo ɔ́ mɛ ɔ́, é wlí ahwangán e kpa acɛ dó sɔ́ja lɛ́ɛ nu é, bó wlí mɛ atɔ́ɔ́n ɖo mɛ e kpó axɔ́sú ɔ́ kpó nɔ́ ɖe wě lɛ́ɛ mɛ, bó wlí ahwangán wěgbójínɔtɔ́ e nɔ́ yí mɛ dó ahwanmɛ é, bó lɛ́ wlí toví kanɖé ko (60) ɖo toxo ɔ́ mɛ gɔ́ ná.","Et dans la ville il prit un eunuque qui avait sous son commandement les gens de guerre, cinq hommes qui faisaient partie des conseillers du roi et qui furent trouvés dans la ville, le secrétaire du chef de l'armée qui était chargé d'enrôler le peuple du pays, et soixante hommes du peuple du pays qui se trouvèrent dans la ville."
Mǐ na yì fí ɖebǔ ɖò hwenu e è nɔ bló jɔhɔn é ǎ.,Nous n’allons nulle part cet été.
jlolò,sans épaisseur
jloò,sans épaisseur
"Amɔ̌, mɛ e ɖo te kpɔ́n ɖɔ è nǐ ɖe tɔ mì, ɖɔ xomɛvɔ́ wɛ un ɖe lɛ́ɛ ɔ́, yě ní kpa awǒbóbó bó j'awǎ. Yě ní nɔ ɖɔ hwebǐnu ɖɔ: “Susu nú Mawu Mavɔmavɔ e jló ɖɔ mɛsɛntɔ́ tɔn ní mɔ fífá é.”","Qu'ils aient de l'allégresse et de la joie, Ceux qui prennent plaisir à mon innocence, Et que sans cesse ils disent : Exalté soit l'Éternel, Qui veut la paix de son serviteur !"
Cuku ɖokpo ɖokpo ɖo kɔnu tɔn,Chaque chien a un collier.
"Hwenu e a ɖò wema towe xà wɛ ɖò fífá mɛ é ɔ, un ɖò gbadanu nùɖuɖu ɖa wɛ kpo kanɖodonǔwu kpo ɖò adohwɛsá.","Pendant que tu lisais paisiblement ton roman, je préparais activement le dîner dans la cuisine."
A wà nǔ nyi dò ǎ.,Tu n'as pas tort.
Kɛ́nkún ɔ́ cí botoò,La goyave est bien grosse.
bo kudo zanzan,reçois le bonjour
atín kpó kan kpó,tout être inanimé
é ɖò vì xɔ́ mɛ̀,elle allaite encore
yè vɛ́ dó é xwédó mɛ émítɔ́n lɛ́ wɛ́ sín,ils croyaient qu'il était parti à la suite de leurs parents
Xwe nabi wε cuku mitɔn ɖo ?,Quel âge a votre chien ?
hɔngan lε nɔ su hɔn lε bo na do hwlεn ye ɖe gan ɖo ajotɔ lε si,les verrous ferment les portes pour se protéger des voleurs
Étɛ́ ná bló a ɖe lò ?,Que vas-tu faire maintenant ?
"Nǔ ɖo mɔ̌ có, Mawu blǒ bɔ hɛ̌nnu yětɔn lɛ́ɛ jɛ dɔkun. Un ná xwedó nǔkplɔ́nmɛ mɛdídá lɛ́ɛ tɔn gbeɖé ǎ.",Dieu cependant avait rempli de biens leurs maisons. Loin de moi le conseil des méchants !
E gbò hɔ̀n nú vì ɔ́,On a coupé le cordon ombilical de l’enfant.
"Mɛ ɖěbǔ zé kúkú yětɔn ɔ́, mɛ ɔ́ ɖó ná nya avɔ tɔn lɛ́ɛ, bó ká ná nyí mɛ blíblí káká jɛ gbadanu. Mi ná mɔ kanlin énɛ́ lɛ́ɛ dó mɔ kanlin blíblí.",et quiconque portera leurs corps morts lavera ses vêtements et sera impur jusqu'au soir. Vous les regarderez comme impurs.
"Ðò xóɖɔɖókpɔ́ syɛnsyɛn ɖé hwenu ɔ, un ɖɔ nǔ e un ma yí gbè na ǎ é kpo sísí kpo, bo ɖótó xó e mɛ e un ɖò xó ɖɔ xá wɛ é ɖɔ lɛ é kaka jɛ vivɔnu.","Lors d'un débat animé, j'ai exprimé mon désaccord avec respect, en écoutant les arguments de mon interlocuteur jusqu'au bout."
"Flú jɛ́n, é flú mì","De fait, il m’a trompé."
ɖŏ ayì tè,garder son sang-froid
"Ée mɛ e nɔ hɛn ahwanfunnú tɔn lɛ́ɛ n'i ɔ́ mɔ mɔ̌ ɔ́, élɔ́ sɔ́ hwǐ tɔn tun te, bó zé éɖée slɔ́ nu bó kú.","Celui qui portait les armes de Saül, le voyant mort, se jeta aussi sur son épée, et mourut avec lui."
A xo kwin kpodo alɔ ɖe tɛ kpo ?,Tu as joué aux billes avec quelle main ?
é híhí wú n'í,il lui a fait des chatouilles
flɔ́ zò,activer le feu
xò zò dŏ nŭ,activer le feu
Nǔ ɖěbǔ ɖo yiyi wɛ ǎ.,Rien ne bouge.
mi cɔ́ miɖéé dó dan nɛ́ ɔ́,méfiez
amɔ gbɔ sukpɔ ă,mais pas beaucoup de moutons
fɛ́ ta nú vì ɔ́,essuie la tête de l'enfant
Un na xɔ kokwe,Je vais acheter des bananes.
mi nyi tɔ ɖokpo ɔ nɔ ɖokpo ɔ,nous sommes de même père et de même mère
"Enɛ nyí vivɔnu ɖé ǎ, loɔ, bǐbɛ̌mɛ yɔyɔ̌ ɖé wɛ.","Ce n’est pas une fin, mais un nouveau départ."
Izáki kanbyɔ́ yě ɖɔ: “Aniwú mi wá gɔ̌n ce? Mi ɖíe gbɛ́ wǎn nú mì bó nya mì sín gɔ̌n mitɔn e.”,"Isaac leur dit: Pourquoi venez-vous vers moi, puisque vous me haïssez et que vous m'avez renvoyé de chez vous?"
"Hwenu e sunnú afɔɖé kanwe ko (300) lɛ́ɛ ɖo lanzo kún wɛ ɔ́, Mawu Mavɔmavɔ bló bɔ Madiáani ví lɛ́ɛ húzú kpan nukɔn yěɖée, bó hu yěɖée, ɖo ahwankpá ɔ́ bǐ mɛ. Wǎgbɔ tɔn ɔ́, yě mɛ e wá kpo lɛ́ɛ hɔn káká yi Bɛti-Cíta ɖo Selela kpáxwé, bó hɔn káká yi toxo e è nɔ ylɔ́ ɖɔ Avɛ́li-Mɛhola ɔ́ mɛ, ɖo Tabati kpá.","Les trois cents hommes sonnèrent encore de la trompette ; et, dans tout le camp, l'Éternel leur fit tourner l'épée les uns contre les autres. Le camp s'enfuit jusqu'à Beth Schitta vers Tseréra, jusqu'au bord d'AbelMehola près de Tabbath."
bɔ vodun tɔn wa,et son vodun prend possession de lui
e ɖù nŭ vɔ́vɔ́ ă,il n'a même pas mangé
ɖŏ adăn wŭ,violemment
gannyiì,violemment
gblawùn,violemment
gidigidì,violemment
hlɔ̀nhlɔ́n ɖò wŭ,violemment
jɔwùn,violemment
Nuɖe ɖi wa nyinyi ɔ wa nyinyi wɛ tɛgbɛ,Ce qui ressemble à l'amour est toujours de l'amour.
Nɔvi ce sunnu lɛ bi,Tous mes frères.
"Dɔkun nǔgbo nǔgbo e ɖò aca ɖé mɛ é wɛ è nɔ jlɛ́ dó nǔ e é nɔ flín lɛ é wu ǎ, loɔ, flínflín gbɛɖe e é nɔ hɛn wá lɛ é wɛ nɔ jlɛ́.","La véritable richesse d’une culture ne se mesure pas à ses monuments, mais à la mémoire vivante qu’elle transmet."
wà afέnnú,faire une saleté
Súnsún afɔ towe lɛ dó hɔnkpo ɔ jí.,Essuie tes pieds sur le paillasson.
Kpé nukún dó amlɔ towe wu.,Soigne ton sommeil.
kwín tɔ̀n,la petite quantité d'une chose
"Yě bló nyibúví ɖokpó ɖo Holɛ́bu só ɔ́ kɔn, yě jɛ akpajlɛ́ e è sínsín gan dó bló é sɛn jí.","Ils ont fait un taurillon à l’Horeb, ils se sont prosternés devant une idole de métal fondu,"
"Enyi a xà gbeɖiɖó ɔ fó hǔn, kɛnklɛn bo sɔ́ ɖó mɛ e ɖò nukún kpé dó wǔ we wɛ é sín avɔgba mɛ.","Lorsque vous aurez terminé la lecture du rapport, déposez-le s'il vous plaît dans le casier de votre supérieur."
hwevi tɔ wε nyi tɔ enε ɔ lε,ces rivières sont poissonneuses
Vi kpɛvi ɔ ɖo xɛsi ɖi nu cuku ɔ wɛ,Le petit garçon a peur du chien.
Sin ɔ́ ɖi bú kɛntɔ́ yětɔn lɛ́ɛ; mɛ ɖěbǔ gán ɖ'é mɛ ǎ.,Les eaux ont recouvert leurs adversaires : il n’en est pas resté un seul.
"Hwì, mɛ̀ ká wɛ̀ ?","Toi, qui est-ce ?"
Mawu kεɖε wε nɔ na lanmε,Dieu seul donne la santé .
ajámácóóó nú mi,mes félicitations
alɔ towe ɖíè,mes félicitations
"É ɖò mɔ̌ có, è hɛn ɔ, è na bló bɔ akwɛ e è nɔ zán ɖò nǔ e è nɔ sà lɛ é mɛ é na nyɔ́ hugǎn, bɔ è na lɛ́ bló bɔ nǔ e ɖò ayǐ lɛ é na nɔ kpɔ́n te d’eji.","La marge brute a progressé de 8 % ce trimestre, principalement grâce à une optimisation rigoureuse des coûts d'approvisionnement et à une rotation des stocks plus efficace."
Ji sin ɖaxoɖaxo ɖo ayi jε wε sin ji,De grosses gouttes de pluie tombent des nuages .
Sɔ́ kpléxɔ ɔ ɖ’ayǐ gbɔn zinkpo ko lɛ biblo kpo nǔ e nɔ xlɛ́ nǔ lɛ é tɛ́n kpɔ́n jɛ nukɔn kpo gblamɛ.,Prépare la salle de réunion en disposant vingt chaises et en testant le projecteur à l’avance.
